"interaction","name","selected","shared interaction","shared name"
"interacts with","SSBP2 (interacts with) CYRIB","false","interacts with","SSBP2 (interacts with) CYRIB"
"interacts with","ACP5 (interacts with) PPP1R9B","false","interacts with","ACP5 (interacts with) PPP1R9B"
"interacts with","ACP5 (interacts with) LIMCH1","false","interacts with","ACP5 (interacts with) LIMCH1"
"interacts with","ACP5 (interacts with) CORO2B","false","interacts with","ACP5 (interacts with) CORO2B"
"interacts with","ACP5 (interacts with) LRRFIP2","false","interacts with","ACP5 (interacts with) LRRFIP2"
"interacts with","ACP5 (interacts with) VGF","false","interacts with","ACP5 (interacts with) VGF"
"interacts with","ACP5 (interacts with) MYO18A","false","interacts with","ACP5 (interacts with) MYO18A"
"interacts with","ACP5 (interacts with) COA7","false","interacts with","ACP5 (interacts with) COA7"
"interacts with","ACP5 (interacts with) SIPA1","false","interacts with","ACP5 (interacts with) SIPA1"
"interacts with","SEPTIN3 (interacts with) CBR4","false","interacts with","SEPTIN3 (interacts with) CBR4"
"interacts with","SEPTIN3 (interacts with) WDTC1","false","interacts with","SEPTIN3 (interacts with) WDTC1"
"interacts with","SEPTIN3 (interacts with) HSD17B8","false","interacts with","SEPTIN3 (interacts with) HSD17B8"
"interacts with","SEPTIN3 (interacts with) SEPTIN6","false","interacts with","SEPTIN3 (interacts with) SEPTIN6"
"interacts with","SEPTIN3 (interacts with) SEPTIN2","false","interacts with","SEPTIN3 (interacts with) SEPTIN2"
"interacts with","SEPTIN3 (interacts with) SEPTIN7","false","interacts with","SEPTIN3 (interacts with) SEPTIN7"
"interacts with","SEPTIN3 (interacts with) SEPTIN10","false","interacts with","SEPTIN3 (interacts with) SEPTIN10"
"interacts with","MBIP (interacts with) TADA2A","false","interacts with","MBIP (interacts with) TADA2A"
"interacts with","MBIP (interacts with) TADA3","false","interacts with","MBIP (interacts with) TADA3"
"interacts with","MBIP (interacts with) MLH1","false","interacts with","MBIP (interacts with) MLH1"
"interacts with","SEPTIN3 (interacts with) SEPTIN8","false","interacts with","SEPTIN3 (interacts with) SEPTIN8"
"interacts with","SEPTIN3 (interacts with) SEPTIN5","false","interacts with","SEPTIN3 (interacts with) SEPTIN5"
"interacts with","SEPTIN3 (interacts with) SEPTIN11","false","interacts with","SEPTIN3 (interacts with) SEPTIN11"
"interacts with","MBIP (interacts with) KAT2B","false","interacts with","MBIP (interacts with) KAT2B"
"interacts with","MBIP (interacts with) TP53RK","false","interacts with","MBIP (interacts with) TP53RK"
"interacts with","MBIP (interacts with) KAT14","false","interacts with","MBIP (interacts with) KAT14"
"interacts with","MBIP (interacts with) OSGEP","false","interacts with","MBIP (interacts with) OSGEP"
"interacts with","MBIP (interacts with) IDH3G","false","interacts with","MBIP (interacts with) IDH3G"
"interacts with","MBIP (interacts with) ZZZ3","false","interacts with","MBIP (interacts with) ZZZ3"
"interacts with","MBIP (interacts with) KAT2A","false","interacts with","MBIP (interacts with) KAT2A"
"interacts with","TMEM25 (interacts with) ATE1","false","interacts with","TMEM25 (interacts with) ATE1"
"interacts with","TMEM25 (interacts with) CEP43","false","interacts with","TMEM25 (interacts with) CEP43"
"interacts with","TMEM25 (interacts with) C4A","false","interacts with","TMEM25 (interacts with) C4A"
"interacts with","MBIP (interacts with) CLIP2","false","interacts with","MBIP (interacts with) CLIP2"
"interacts with","MBIP (interacts with) SEPTIN3","false","interacts with","MBIP (interacts with) SEPTIN3"
"interacts with","MBIP (interacts with) YEATS2","false","interacts with","MBIP (interacts with) YEATS2"
"interacts with","MBIP (interacts with) TPRKB","false","interacts with","MBIP (interacts with) TPRKB"
"interacts with","TMEM25 (interacts with) GAS6","false","interacts with","TMEM25 (interacts with) GAS6"
"interacts with","TMEM25 (interacts with) ALDH1L2","false","interacts with","TMEM25 (interacts with) ALDH1L2"
"interacts with","TMEM25 (interacts with) MIB1","false","interacts with","TMEM25 (interacts with) MIB1"
"interacts with","TMEM25 (interacts with) COL22A1","false","interacts with","TMEM25 (interacts with) COL22A1"
"interacts with","TMEM25 (interacts with) BCKDHA","false","interacts with","TMEM25 (interacts with) BCKDHA"
"interacts with","TMEM25 (interacts with) LOC102724560","false","interacts with","TMEM25 (interacts with) LOC102724560"
"interacts with","TMEM25 (interacts with) CHI3L1","false","interacts with","TMEM25 (interacts with) CHI3L1"
"interacts with","TMEM25 (interacts with) NPC2","false","interacts with","TMEM25 (interacts with) NPC2"
"interacts with","TMEM25 (interacts with) ANGPTL2","false","interacts with","TMEM25 (interacts with) ANGPTL2"
